wave.pageurl,wave.time,wave.allitemcount,wave.totalelements,wave.error.count,wave.contrast.count,wave.alert.count,wave.feature.count,wave.structure.count,wave.aria.count,ipeds.schoolname,ipeds.city,ipeds.state,ipeds.degrees_awarded.predominant,ipeds.degrees_awarded.highest,ipeds.ownership,ipeds.admission_rate.overall,ipeds.online_only,ipeds.tuition.in_state,ipeds.tuition.out_of_state,ipeds.ft_faculty_rate,ipeds.institutional_characteristics.level,ipeds.endowment.begin,ipeds.size,calc.avg_net_price,calc.attendance_cost,calc.above_average_errors
spatech.edu,4.22,670,2469,121,30,119,13,65,322,Spa Tech Institute-Plymouth,Plymouth,MA,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,175,17674,20512,Worse than Average
cetweb.edu,11.94,298,1474,26,11,52,71,60,78,CET-San Jose,San Jose,CA,Certificate,Certificate,Private nonprofit,,Not online only,,,,Less-than-2-year,,176,15629,21971,Better than Average
atcla.edu,3.22,50,304,0,0,0,12,30,8,Associated Technical College-Los Angeles,Los Angeles,CA,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,180,22635,27268,Better than Average
martin.edu,8.34,426,1416,7,67,78,27,50,197,Martin University,Indianapolis,IN,Bachelor's,Graduate,Private nonprofit,,Not online only,13200,13200,0.8571,4-year,,180,15271,25074,Better than Average
paulmitchell.edu/frederick,2.52,77,410,0,3,16,14,26,18,The Temple-A Paul Mitchell Partner School,Frederick,MD,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,182,19448,22562,Better than Average
aimm.edu,6.33,587,1332,16,56,66,53,75,321,Atlanta Institute of Music and Media,Duluth,GA,Associate,Associate,Private for-profit,,Not online only,,,1,2-year,,183,18515,21457,Better than Average
americanbeautycollege.edu,3.94,212,764,27,5,47,49,37,47,American Beauty College,West Covina,CA,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,185,13970,16202,Better than Average
paulmitchell.edu/sterlingheights,2.72,82,446,0,3,19,16,26,18,Paul Mitchell the School-Michigan,Sterling Heights,MI,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,185,22425,25415,Better than Average
catherinehinds.edu,6.13,85,344,4,30,5,15,26,5,Catherine Hinds Institute of Esthetics,Woburn,MA,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,190,20150,26962,Better than Average
mediatech.edu,10.25,328,1872,8,57,97,67,81,18,MediaTech Institute-Dallas,Dallas,TX,Associate,Associate,Private for-profit,,Not online only,,,0.0909,2-year,,194,17202,23847,Better than Average
mcinj.edu,2.92,167,810,0,25,26,9,21,86,Medical Career Institute,Ocean,NJ,Certificate,Certificate,Private for-profit,,Not online only,,,,2-year,,195,,,Better than Average
sjvc.edu,4.63,130,732,0,6,19,25,50,30,San Joaquin Valley College-Rancho Cordova,Rancho Cordova,CA,Associate,Associate,Private for-profit,,Not online only,,,,2-year,,196,25866,28639,Better than Average
sjvc.edu,4.32,141,763,0,6,22,29,51,33,San Joaquin Valley College-Rancho Cordova,Rancho Cordova,CA,Associate,Associate,Private for-profit,,Not online only,,,,2-year,,196,25866,28639,Better than Average
ibw.edu,8.95,423,2250,21,30,119,91,69,93,The Institute of Beauty and Wellness,Milwaukee,WI,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,196,10186,16788,Better than Average
paulmitchell.edu/annapolis,2.62,77,421,0,3,16,14,26,18,The Temple Annapolis-A Paul Mitchell Partner School,Annapolis,MD,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,197,16993,20481,Better than Average
cetweb.edu,11.94,298,1474,26,11,52,71,60,78,CET-San Diego,San Diego,CA,Certificate,Certificate,Private nonprofit,,Not online only,,,,Less-than-2-year,,198,18989,24689,Better than Average
sjvc.edu,4.63,130,732,0,6,19,25,50,30,San Joaquin Valley College-Lancaster,Lancaster,CA,Certificate,Associate,Private for-profit,,Not online only,,,0.3333,2-year,,198,24386,27813,Better than Average
sjvc.edu,4.32,141,763,0,6,22,29,51,33,San Joaquin Valley College-Lancaster,Lancaster,CA,Certificate,Associate,Private for-profit,,Not online only,,,0.3333,2-year,,198,24386,27813,Better than Average
carrington.edu,4.02,195,763,0,29,24,27,60,55,Carrington College-Citrus Heights,Citrus Heights,CA,Certificate,Associate,Private for-profit,,Not online only,,,0.6364,2-year,,199,30183,35208,Better than Average
spartan.edu,3.32,115,803,2,0,50,17,37,9,Spartan College of Aeronautics and Technology,Riverside,CA,Certificate,Certificate,Private for-profit,,Not online only,,,,2-year,,199,29283,34514,Better than Average
patgoins.edu,2.82,130,609,0,10,24,26,47,23,Pat Goins Benton Road Beauty School,Shreveport,LA,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,201,12817,18308,Better than Average
paulmitchell.edu/boise,2.72,139,654,0,3,32,18,28,58,Paul Mitchell the School-Boise,Boise,ID,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,202,18852,22732,Better than Average
sjvc.edu,4.63,130,732,0,6,19,25,50,30,San Joaquin Valley College-Trades Education Center,Fresno,CA,Certificate,Associate,Private for-profit,,Not online only,,,0.4375,2-year,,203,21229,24859,Better than Average
sjvc.edu,4.32,141,763,0,6,22,29,51,33,San Joaquin Valley College-Trades Education Center,Fresno,CA,Certificate,Associate,Private for-profit,,Not online only,,,0.4375,2-year,,203,21229,24859,Better than Average
living-arts-college.edu,5.73,170,946,0,14,44,4,42,66,Living Arts College,Raleigh,NC,Certificate,Bachelor's,Private for-profit,0.4655,Not online only,16600,16600,1,4-year,,203,23855,29944,Better than Average
paulmitchell.edu/chicago,3.04,81,466,0,3,17,16,27,18,Paul Mitchell the School-Chicago,Chicago,IL,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,205,15815,20763,Better than Average
dec.edu,6.73,152,1387,29,20,25,21,51,6,Douglas Education Center,Monessen,PA,Certificate,Associate,Private for-profit,,Not online only,17950,17950,0.3235,2-year,,206,26346,30722,Better than Average
paulmitchell.edu/toledo,2.42,78,431,0,3,17,14,26,18,Paul Mitchell the School-Toledo,Sylvania,OH,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,206,20215,25365,Better than Average
californiacareercollege.edu,2.62,143,632,9,6,17,6,25,80,California Career College,Canoga Park,CA,Associate,Associate,Private for-profit,,Not online only,,,,2-year,,208,,,Better than Average
tricociuniversity.edu,5.04,192,822,14,41,13,28,56,40,Tricoci University of Beauty Culture-Rockford,Rockford,IL,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,210,14770,21184,Better than Average
tricociuniversity.edu,5.04,192,822,14,41,13,28,56,40,Tricoci University of Beauty Culture-Chicago NW,Chicago,IL,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,215,,,Better than Average
vul.edu,27.86,134,470,16,59,19,2,32,6,Virginia University of Lynchburg,Lynchburg,VA,Bachelor's,,Private nonprofit,,Not online only,10136,10136,0.25,4-year,1688314,217,7691,14566,Better than Average
thenicc.edu,3.03,176,747,0,0,16,12,63,85,Nebraska Indian Community College,Macy,NE,Associate,Associate,Public,,Not online only,4080,4080,0.2679,2-year,1410032,218,6175,12989,Better than Average
helms.edu,4.44,212,659,27,40,57,4,53,31,Helms College,Macon,GA,Certificate,Associate,Private nonprofit,,Not online only,13460,13460,1,2-year,,218,20957,26192,Better than Average
medquestcollege.edu,6.53,139,685,6,0,35,15,39,44,MedQuest College,Louisville,KY,Certificate,Associate,Private for-profit,,Not online only,,,0.6207,2-year,,218,22482,22842,Better than Average
adrians.edu,5.12,134,718,16,14,9,22,41,32,North Adrian's College of Beauty Inc,Modesto,CA,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,221,19911,25359,Better than Average
plattcolorado.edu,3.63,181,631,2,0,18,19,54,88,Platt College-Aurora,Greenwood Village,CO,Bachelor's,Bachelor's,Private for-profit,0.5833,Not online only,20590,20590,0.3191,4-year,,222,41975,42415,Better than Average
remingtoncollege.edu/locations/houston/greenspoint,3.12,222,1161,10,3,41,46,60,62,Remington College-North Houston Campus,Houston,TX,Certificate,Bachelor's,Private nonprofit,,Not online only,18701,18701,,4-year,,223,24322,29203,Better than Average
aviationmaintenance.edu/campuses/norfolk-va,4.02,226,1236,9,29,21,21,55,91,Aviation Institute of Maintenance-Norfolk,Norfolk,VA,Certificate,Certificate,Private for-profit,,Not online only,16757,16757,,2-year,,224,26052,30037,Better than Average
spatech.edu,4.22,670,2469,121,30,119,13,65,322,Spa Tech Institute-Westbrook,Westbrook,ME,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,226,16449,18754,Worse than Average
whitworth.edu/cms,4.02,95,429,20,6,26,3,28,12,Whitworth University-Adult Degree Programs,Spokane,WA,Bachelor's,Bachelor's,Private nonprofit,,Not online only,,,,4-year,,227,,,Better than Average
genejuarezacademy.edu,5.74,590,2248,101,17,97,46,97,232,Highlights Beauty Schools,Federal Way,WA,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,233,11956,19909,Worse than Average
gobbc.edu,5.92,211,1079,34,1,32,6,126,12,Baptist Bible College,Springfield,MO,Bachelor's,Graduate,Private nonprofit,,Not online only,14890,14890,0.3023,4-year,280102,236,17211,25648,Worse than Average
fortis.edu,8.04,893,2454,45,11,23,204,153,457,Fortis Institute-Scranton,Scranton,PA,Associate,Associate,Private for-profit,,Not online only,28190,28190,0.25,2-year,,241,34336,39845,Worse than Average
tiba.edu,3.12,89,511,7,5,20,14,28,15,Total Image Beauty Academy,Union City,NJ,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,242,15038,19792,Better than Average
cnei.edu,6.13,571,1439,25,13,91,57,85,300,California Nurses Educational Institute,Palm Springs,CA,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,244,24020,28392,Better than Average
diversinstitute.edu,3.42,235,1391,63,30,25,9,57,51,Divers Institute of Technology,Seattle,WA,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,247,39119,42087,Worse than Average
paulmitchell.edu/reno,2.52,77,450,0,3,16,14,26,18,Paul Mitchell the School-Reno,Reno,NV,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,247,22418,26091,Better than Average
gwinnettcollege.edu,4.02,154,375,16,37,61,7,20,13,Gwinnett College-Marietta Campus,Marietta,GA,Certificate,Associate,Private for-profit,,Not online only,,,,2-year,,248,21183,25326,Better than Average
chac.edu,5.43,180,754,10,20,16,10,25,99,California Healing Arts College,Carson,CA,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,250,21741,27133,Better than Average
paulmitchell.edu/springfield,2.52,80,463,0,3,17,15,27,18,Paul Mitchell the School-Springfield,Springfield,MO,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,250,15905,18412,Better than Average
abcotechnology.edu,6.74,188,751,15,7,44,31,63,28,ABCO Technology,Inglewood,CA,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,253,,,Better than Average
uhsp.edu,3.44,145,840,15,4,46,8,36,36,University of Health Sciences and Pharmacy in St. Louis,Saint Louis,MO,Bachelor's,Graduate,Private nonprofit,0.9108,Not online only,30708,30708,0.7217,4-year,134563875,254,34371,49252,Better than Average
avedafi.edu/columbus,6.64,636,1237,33,40,52,40,122,349,Aveda Institute-Columbus,Columbus,OH,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,255,20465,24663,Worse than Average
college.mayo.edu,3.52,220,936,1,2,23,60,61,73,Mayo Clinic College of Medicine and Science,Rochester,MN,Certificate,Graduate,Private nonprofit,0.4906,Not online only,3242,3242,,4-year,795423000,258,,,Better than Average
paulmitchell.edu/sandiego,2.52,95,534,0,3,31,16,27,18,Paul Mitchell the School-San Diego,San Diego,CA,Certificate,Certificate,Private for-profit,,Not online only,,,,2-year,,261,22950,27764,Better than Average
gic.edu,6.55,142,906,2,5,12,13,50,60,Georgia Institute of Cosmetology,Athens,GA,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,262,14715,17669,Better than Average
rosseducation.edu,2.83,698,1073,2,4,173,19,64,436,Ross College-Grand Rapids North,Grand Rapids,MI,Certificate,Associate,Private for-profit,,Not online only,,,,2-year,,263,16108,23318,Better than Average
fortis.edu,8.04,893,2454,45,11,23,204,153,457,Fortis College-Montgomery,Montgomery,AL,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,264,19888,25621,Worse than Average
vogue.edu,4.22,179,760,7,5,21,21,37,88,Vogue College of Cosmetology-McAllen,McAllen,TX,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,264,21607,27735,Better than Average
fortis.edu,8.04,893,2454,45,11,23,204,153,457,Fortis Institute-Lawrenceville,Lawrenceville,NJ,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,266,21565,26737,Worse than Average
paulmitchell.edu/atlanta,2.52,82,474,0,3,20,14,27,18,Paul Mitchell the School-Atlanta,Atlanta,GA,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,266,14359,19205,Better than Average
mid-america.edu,2.82,143,656,3,2,57,4,34,43,Mid-America College of Funeral Service,Jeffersonville,IN,Associate,Bachelor's,Private nonprofit,,Not online only,16960,16960,,4-year,,271,21454,23769,Better than Average
dda.edu,4.22,161,881,5,4,36,15,24,77,Diesel Driving Academy-Baton Rouge,Baton Rouge,LA,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,272,13891,17528,Better than Average
remingtoncollege.edu/locations/nashville,3.22,229,1198,10,4,42,47,64,62,Remington College-Nashville Campus,Nashville,TN,Certificate,Associate,Private nonprofit,,Not online only,17189,17189,,2-year,,272,23812,28681,Better than Average
gnomon.edu,4.62,237,755,1,4,31,37,65,99,Gnomon,Hollywood,CA,Certificate,Bachelor's,Private for-profit,0.4483,Not online only,28155,28155,0,4-year,,272,47099,53847,Better than Average
southhills.edu,7.44,213,1274,20,11,15,26,57,84,South Hills School of Business & Technology,State College,PA,Associate,Associate,Private for-profit,0.9714,Not online only,18878,18878,0.4737,2-year,,274,23305,30029,Better than Average
icprjc.edu,4.73,150,653,18,12,34,15,41,30,ICPR Junior College-Arecibo,Arecibo,PR,Certificate,Associate,Private for-profit,,Not online only,7160,7160,0.5455,2-year,,275,7818,13383,Better than Average
paulmitchell.edu/pasadena,2.52,91,509,0,3,28,16,26,18,Paul Mitchell the School-Pasadena,Pasadena,CA,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,275,15334,18411,Better than Average
tcathartsville.edu,5.42,122,626,6,4,13,33,26,40,Tennessee College of Applied Technology-Hartsville,Hartsville,TN,Certificate,Certificate,Public,,Not online only,,,,2-year,,279,8514,14401,Better than Average
gscollege.edu,2.72,175,570,1,27,56,34,34,23,Good Samaritan College of Nursing and Health Science,Cincinnati,OH,Associate,Bachelor's,Private nonprofit,0.8889,Not online only,15470,15470,0.9333,4-year,4980018,282,25576,27977,Better than Average
tricociuniversity.edu,5.04,192,822,14,41,13,28,56,40,Tricoci University of Beauty Culture-Indianapolis,Indianapolis,IN,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,283,,,Better than Average
firstinstitute.edu,4.02,552,1258,4,63,26,46,47,366,First Institute of Travel Inc.,Crystal Lake,IL,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,283,21091,24301,Better than Average
laurel.edu,11.24,255,1395,34,14,34,48,85,40,Laurel Business Institute,Uniontown,PA,Certificate,Associate,Private for-profit,0.9091,Not online only,10970,10970,0.6667,2-year,,283,9331,14868,Worse than Average
dda.edu,4.22,161,881,5,4,36,15,24,77,Diesel Driving Academy-Shreveport,Shreveport,LA,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,283,13872,17847,Better than Average
bethanygu.edu,5.22,296,2389,22,41,60,44,83,46,Bethany Global University,Bloomington,MN,Bachelor's,Graduate,Private nonprofit,0.9487,Not online only,16100,16100,0.1667,4-year,,284,20312,28268,Better than Average
angelescollege.edu,28.16,66,672,0,7,21,0,37,1,Angeles College,Los Angeles,CA,Certificate,Bachelor's,Private for-profit,,Not online only,,,0.5714,4-year,,286,21251,26441,Better than Average
jbc.edu,6.53,185,915,11,70,23,8,54,19,Jamestown Business College,Jamestown,NY,Associate,Bachelor's,Private for-profit,0.8611,Not online only,12945,12945,,4-year,,287,6452,18505,Better than Average
avenuefive.edu,5.52,188,791,7,25,51,37,64,4,Avenue Five Institute,Austin,TX,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,291,17994,21520,Better than Average
jpcatholic.edu,7.93,150,542,9,1,31,57,38,14,John Paul the Great Catholic University,Escondido,CA,Bachelor's,Bachelor's,Private nonprofit,0.7885,Not online only,28000,28000,0.3077,4-year,33053,292,27618,45444,Better than Average
rosseducation.edu,2.83,698,1073,2,4,173,19,64,436,Ross College-Canton,Canton,OH,Certificate,Associate,Private for-profit,,Not online only,,,,2-year,,293,19925,22678,Better than Average
iot.edu,4.02,256,1914,17,11,27,32,95,74,Institute of Technology,Salem,OR,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,293,35350,39043,Better than Average
sjvc.edu,4.63,130,732,0,6,19,25,50,30,San Joaquin Valley College-Hesperia,Hesperia,CA,Certificate,Associate,Private for-profit,,Not online only,,,0.2727,2-year,,295,23534,27805,Better than Average
sjvc.edu,4.32,141,763,0,6,22,29,51,33,San Joaquin Valley College-Hesperia,Hesperia,CA,Certificate,Associate,Private for-profit,,Not online only,,,0.2727,2-year,,295,23534,27805,Better than Average
remingtoncollege.edu/locations/mobile,3.22,224,1154,10,3,38,48,63,62,Remington College-Mobile Campus,Mobile,AL,Certificate,Associate,Private nonprofit,,Not online only,17773,17773,,2-year,,295,24011,29279,Better than Average
tricociuniversity.edu,5.04,192,822,14,41,13,28,56,40,Tricoci University of Beauty Culture-Highland,Highland,IN,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,296,18922,22544,Better than Average
fortis.edu,8.04,893,2454,45,11,23,204,153,457,Fortis Institute,Houston,TX,Certificate,Associate,Private for-profit,,Not online only,,,0.2424,2-year,,300,19909,25685,Worse than Average
fortis.edu,8.04,893,2454,45,11,23,204,153,457,Fortis College,Mobile,AL,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,301,19331,24316,Worse than Average
fortis.edu,8.04,893,2454,45,11,23,204,153,457,Fortis Institute-Cookeville,Cookeville,TN,Certificate,Associate,Private for-profit,,Not online only,15458,15458,0.4545,2-year,,303,22059,28922,Worse than Average
fortis.edu,8.04,893,2454,45,11,23,204,153,457,Fortis College-Indianapolis,Indianapolis,IN,Certificate,Associate,Private for-profit,,Not online only,14726,14726,0.55,2-year,,308,27890,32929,Worse than Average
utcpr.edu,2.32,81,353,30,13,24,1,13,0,Universidad Teologica del Caribe,Trujillo Alto,PR,Bachelor's,Graduate,Private nonprofit,,Not online only,6510,6510,0.3,4-year,,315,7128,11216,Worse than Average
cmpr.edu,6.03,120,932,10,20,18,20,48,4,Puerto Rico Conservatory of Music,San Juan,PR,Bachelor's,Graduate,Public,0.5077,Not online only,3370,3370,0.4405,4-year,1638268,315,5655,10920,Better than Average
spartan.edu,3.32,115,803,2,0,50,17,37,9,Spartan College of Aeronautics and Technology,Broomfield,CO,Associate,Associate,Private for-profit,,Not online only,15790,15790,,2-year,,316,22590,29125,Better than Average
carrington.edu,4.02,195,763,0,29,24,27,60,55,Carrington College-San Leandro Campus,San Leandro,CA,Certificate,Associate,Private for-profit,,Not online only,,,0.625,2-year,,317,30608,34117,Better than Average
porterchester.edu,7.55,134,960,1,12,12,46,62,1,Porter & Chester Institute of Hamden,Hamden,CT,Certificate,Certificate,Private for-profit,,Not online only,16327,16327,,Less-than-2-year,,318,22612,29336,Better than Average
principiacollege.edu,6.16,269,1240,2,5,37,22,61,142,Principia College,Elsah,IL,Bachelor's,Bachelor's,Private nonprofit,0.8406,Not online only,30820,30820,1,4-year,373804012,318,,,Better than Average
spartan.edu,3.32,115,803,2,0,50,17,37,9,Spartan College of Aeronautics & Technology,Inglewood,CA,Certificate,Associate,Private for-profit,,Not online only,,,,2-year,,319,24736,31357,Better than Average
paulmitchell.edu/sacramento,2.72,89,491,0,3,26,16,26,18,Paul Mitchell the School-Sacramento,Sacramento,CA,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,325,16463,19082,Better than Average
fortis.edu,8.04,893,2454,45,11,23,204,153,457,Fortis College,Houston,TX,Certificate,Associate,Private for-profit,,Not online only,,,0.28,2-year,,327,23045,28840,Worse than Average
bryantstratton.edu,5.93,454,2084,1,3,51,143,65,191,Bryant & Stratton College-Greece,Rochester,NY,Associate,Bachelor's,Private for-profit,,Not online only,18465,18465,0.3256,4-year,,329,15745,22821,Better than Average
athenacareers.edu,5.32,93,879,1,4,33,14,38,3,Athena Career Academy,Toledo,OH,Certificate,Associate,Private for-profit,0.7,Not online only,,,1,2-year,,329,23382,25721,Better than Average
first.edu,2.82,352,1026,1,23,58,25,40,205,Florida Institute of Recording Sound and Technology,Orlando,FL,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,338,,,Better than Average
glit.edu,4.72,259,936,5,35,20,19,63,117,Great Lakes Institute of Technology,Erie,PA,Certificate,Associate,Private for-profit,,Not online only,,,,2-year,,343,18431,22267,Better than Average
herzing.edu,3.22,328,1725,20,9,30,43,39,187,Herzing University-Brookfield,Brookfield,WI,Certificate,Graduate,Private nonprofit,0.9138,Not online only,14200,14200,0.4,4-year,,344,24095,30873,Better than Average
salem.edu,3.62,1071,1962,0,0,44,25,30,972,Salem College,Winston-Salem,NC,Bachelor's,Graduate,Private nonprofit,0.9019,Not online only,31016,31016,0.4516,4-year,56693351,346,10492,37195,Better than Average
paulmitchell.edu/shermanoaks,2.72,86,499,0,3,22,16,27,18,Paul Mitchell the School-Sherman Oaks,Sherman Oaks,CA,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,346,19180,24097,Better than Average
carrington.edu,4.02,195,763,0,29,24,27,60,55,Carrington College-Las Vegas,Las Vegas,NV,Certificate,Associate,Private for-profit,,Not online only,,,0.7059,2-year,,349,29583,33388,Better than Average
proskills.edu,4.82,471,1570,1,13,99,89,62,207,Professional Skills Institute,Maumee,OH,Certificate,Associate,Private for-profit,0.6224,Not online only,13541,13541,0.3171,2-year,,349,20327,23311,Better than Average
paulmitchell.edu/sanantonio,2.72,86,486,0,3,23,16,26,18,Paul Mitchell the School-San Antonio,San Antonio,TX,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,349,23275,26652,Better than Average
carrington.edu,4.02,195,763,0,29,24,27,60,55,Carrington College-Portland,Portland,OR,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,350,29502,33152,Better than Average
bryantstratton.edu,5.93,454,2084,1,3,51,143,65,191,Bryant & Stratton College-Albany,Albany,NY,Associate,Bachelor's,Private for-profit,,Not online only,18356,18356,0.2,4-year,,351,14913,21981,Better than Average
mooretech.edu,3.02,104,815,11,27,12,10,44,0,William R Moore College of Technology,Memphis,TN,Certificate,Associate,Private nonprofit,,Not online only,8850,8850,0.7586,2-year,7762055,351,13426,20381,Better than Average
valley.edu,3.42,379,1267,0,54,171,27,68,59,Valley College-Cleveland,Cleveland,OH,Certificate,Certificate,Private for-profit,,Not online only,,,0.9286,2-year,,351,33338,37639,Better than Average
ice.edu/losangeles,4.93,377,1322,1,52,26,80,74,144,Institute of Culinary Education,Pasadena,CA,Certificate,Certificate,Private for-profit,,Not online only,,,0.5,2-year,,351,,,Better than Average
springfield.edu/regional-and-online,4.82,106,1192,2,1,6,25,32,40,Springfield College-Regional Online and Continuing Education,Springfield,MA,Bachelor's,Graduate,Private nonprofit,,Not online only,,,1,4-year,,354,,,Better than Average
icprjc.edu,4.73,150,653,18,12,34,15,41,30,ICPR Junior College-Mayaguez,Mayaguez,PR,Certificate,Associate,Private for-profit,,Not online only,7160,7160,0.3571,2-year,,355,6780,14201,Better than Average
carrington.edu,4.02,195,763,0,29,24,27,60,55,Carrington College-Stockton,Stockton,CA,Certificate,Associate,Private for-profit,,Not online only,,,0.9167,2-year,,357,30293,34021,Better than Average
tricociuniversity.edu,5.04,192,822,14,41,13,28,56,40,Tricoci University of Beauty Culture-Bridgeview,Bridgeview,IL,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,365,,,Better than Average
stone.edu,2.62,63,387,1,1,8,5,7,41,Stone Academy-Waterbury,Waterbury,CT,Certificate,Certificate,Private for-profit,,Not online only,,,,2-year,,368,20193,24822,Better than Average
coa.edu,7.03,210,1254,12,2,16,77,102,1,College of the Atlantic,Bar Harbor,ME,Bachelor's,Bachelor's,Private nonprofit,0.6114,Not online only,43542,43542,1,4-year,61575783,369,22098,54437,Better than Average
phc.edu,6.63,728,1615,8,9,68,30,56,557,Patrick Henry College,Purcellville,VA,Bachelor's,Bachelor's,Private nonprofit,0.8243,Not online only,28425,28425,1,4-year,2013678,371,,,Better than Average
herzing.edu,3.22,328,1725,20,9,30,43,39,187,Herzing University-New Orleans,Metairie,LA,Associate,Graduate,Private nonprofit,0.9412,Not online only,14200,14200,0.7778,4-year,,372,24916,29995,Better than Average
atlantisuniversity.edu,8.24,78,580,1,12,22,8,22,13,Atlantis University,Miami,FL,Bachelor's,Graduate,Private for-profit,,Not online only,10800,10800,0.6087,4-year,,375,20062,25530,Better than Average
icprjc.edu,4.73,150,653,18,12,34,15,41,30,ICPR Junior College,Manati,PR,Certificate,Associate,Private for-profit,,Not online only,7160,7160,0.4828,2-year,,377,6042,12312,Better than Average
fortis.edu,8.04,893,2454,45,11,23,204,153,457,Fortis College-Cutler Bay,Cutler Bay,FL,Certificate,Associate,Private for-profit,,Not online only,19138,19138,0.2308,2-year,,379,27822,33249,Worse than Average
martincc.edu,2.31,86,479,0,0,6,21,54,5,Martin Community College,Williamston,NC,Certificate,Associate,Public,,Not online only,1915,6523,0.1733,2-year,,380,5930,11930,Better than Average
artinstitutes.edu/houston,9.23,297,1205,13,5,33,73,92,81,The Art Institute of Houston,Houston,TX,Bachelor's,Bachelor's,Private for-profit,,Not online only,19354,19354,0.1786,4-year,,380,30481,36447,Better than Average
pqc.edu,3.32,396,1030,4,3,7,24,25,333,Paul Quinn College,Dallas,TX,Bachelor's,Bachelor's,Private nonprofit,0.8738,Not online only,10672,10672,0.4412,4-year,2913488,384,5529,14492,Better than Average
fortis.edu,8.04,893,2454,45,11,23,204,153,457,Fortis College-Baton Rouge,Baton Rouge,LA,Certificate,Associate,Private for-profit,,Not online only,15179,15179,0.4815,2-year,,387,22791,28986,Worse than Average
carrington.edu,4.02,195,763,0,29,24,27,60,55,Carrington College-Spokane,Spokane,WA,Certificate,Associate,Private for-profit,,Not online only,,,0.7,2-year,,393,32674,36098,Better than Average
voorhees.edu,8.16,272,1186,30,6,80,50,101,5,Voorhees University,Denmark,SC,Bachelor's,Bachelor's,Private nonprofit,,Not online only,12630,12630,0.5172,4-year,8081552,402,14083,24896,Worse than Average
avedafi.edu/cincinnati,7.63,628,1225,33,39,54,39,122,341,Aveda Fredric's Institute-Cincinnati,West Chester,OH,Certificate,Certificate,Private for-profit,,Not online only,,,,Less-than-2-year,,406,20998,24446,Worse than Average
ibmc.edu,6.43,320,992,51,13,66,20,57,113,IBMC College,Fort Collins,CO,Certificate,Associate,Private for-profit,,Not online only,14580,14580,0.2969,2-year,,409,21985,25174,Worse than Average
